store_name,category,donation_rate,igive_url,actual_store_url
Chantelle Lingerie,"Apparel, Shoes & Fashion",3.2%,https://www.iGive.com/chantelle,https://chantelle.com
Char-Broil,General Retail & Shopping,0.4%,https://www.iGive.com/char-broil,https://www.charbroil.com
Charles Tyrwhitt,General Retail & Shopping,0.8%,https://www.iGive.com/charles-tyrwhitt,https://www.charlestyrwhitt.com
Charlotte Russe,General Retail & Shopping,0.8%,https://www.iGive.com/charlotterusse,https://charlotterusse.com
cheapOair,General Retail & Shopping,Special Rate,https://www.iGive.com/cheapoair,Manual Check Required
cheapOair Canada,General Retail & Shopping,Special Rate,https://www.iGive.com/cheapoai,Manual Check Required
CheapTickets,"Travel, Hotels & Vehicles",0.4%,https://www.iGive.com/cheap-tickets,https://www.cheap-tickets.com
Checks In The Mail,General Retail & Shopping,6.4%,https://www.iGive.com/checks-in-the-mail,https://secure.checksinthemail.com
CheckWorks,General Retail & Shopping,10.0%,https://www.iGive.com/check-works,https://checkworks.com:443
Cheesecake,General Retail & Shopping,2.0%,https://www.iGive.com/cheesecake,https://www.cheesecake.com
Cheryl's,General Retail & Shopping,2.4%,https://www.iGive.com/cheryls,https://www.cheryls.com
Chesapeake Bay Crab Cakes & More,General Retail & Shopping,1.6%,https://www.iGive.com/cbcrabcakes,https://www.cbcrabcakes.com
Chess Bazaar,General Retail & Shopping,2.0%,https://www.iGive.com/chess-bazaar,https://chessbazaar.com
Chewy,Pets & Animals,0.4%,https://www.iGive.com/chewy,Manual Check Required
Chewy Canada,Pets & Animals,3.2%,https://www.iGive.com/https://chewy.co,Manual Check Required
Chicago Steak Company,"Food, Wine & Gifts",3.2%,https://www.iGive.com/chicago-steak-company,Manual Check Required
Chico's,General Retail & Shopping,1.6%,https://www.iGive.com/chicos,https://www.chicos.com
Chippin,General Retail & Shopping,8.0%,https://www.iGive.com/chippin,Manual Check Required
Chrome Battery,"Electronics, Software & Office",4.0%,https://www.iGive.com/chrome-battery,https://chromebattery.com
Chupi,General Retail & Shopping,4.0%,https://www.iGive.com/chupi,https://www.chupi.com
Circus Circus Reno,General Retail & Shopping,2.0%,https://www.iGive.com/Circus-circus,https://www.circuscircus.com
